"Submission ID","Respondent ID","Submitted at","Cheney Field and the Martin St field are owned by APS and are therefore publicly owned land. If given the choice, what is your vision for these lots?","What would you like to see?","Any Additional Comments?","Something Else - Supports Track","Duplicate"
"q5g94Dk","D4ONNjZ","2026-09-11 20:15:19","Green space","","A park! ","","No"
"VpqKpbM","WObNAWR","2026-09-11 20:21:33","Green space","","if the Atlanta track club wants to build up on Cheney, I am concerned about the additional traffic that would come to the neighborhood. My biggest concern, however, is the fact that we will be removing some of the green space and the soccer feels without any plans to replace them. I typically support community development, but in this instance, I don’t think I can support it because it’s getting rid of quality green space. 

Also I have not seen a plan on how residents will be granted or limited access. ","","No"
"VpqKprN","yPA6y44","2026-09-11 20:23:24","Green space","","The indoor track proposal to turn the green that teams play soccer on into a surface lot does not make a lot of sense. Also, cutting down nature trees does not help the health of the neighborhood. ","","No"
"VpqKjzM","KY260pX","2026-09-11 20:29:12","Green space","","","","No"
"LDVezNJ","yPA6D0W","2026-09-11 20:31:32","Green space","","First, the track is an awesome asset for the neighborhood, not only Summerhill but also the surrounding neighborhoods. We don’t have a lot of tracks that are open to public, so it’s great to have this one. 
Second, we have a flooding issue in Peoplestown and the green spaces are helping to reduce the amount of water that’s coming down to us. 
Third, even if they build the Indoor facilities, why do they need this huge parking lot? I know, they already reduced it but 150 is still huge, especially given that Summerhill already has plenty of parking.","","No"
"7XjyL72","RGe0R04","2026-09-11 20:36:50","Green space","","Our family would defer to Summerhill residents, but personally feel that the current ATC proposal largely prioritizes the interests of folks from outside the community (Buckhead and beyond). We are disturbed by the removal of green space (where my child plays soccer) for surface parking lots. And we don’t think free spaces should be turned into fee spaces. ","","No"
"5XrJjNZ","NpN6LLl","2026-09-11 20:37:26","ATC Indoor Track Proposal","","","","No"
"PR47OOB","ja4yWd4","2026-09-11 20:48:31","ATC Indoor Track Proposal","","Green space that isn’t utilized to its fullest doesn’t bring economic benefits to the neighborhood. ","","No"
"yXgB958","7R0W9KZ","2026-09-11 20:56:07","Something else (write in)","Idk just not a parking lot. Grow a spine , that’s ridiculous ","No parking lot, its an eye sore and that amount of parking is completely unnecessary. We just built rapid bus transit, utilize it","No","Yes"
"o9gqyMM","7R0W9KZ","2026-09-11 20:58:05","Green space","","Also they’re building so much parking in Summerhill. If they’re going to a track I think they can walk from one of the several other parking lots","","No"
"5XrJdJP","zxBq0OZ","2026-09-11 21:05:57","ATC Indoor Track Proposal","","With changes to parking and cutting off street access. I’m not opposed to the project with significant changes. ","","No"
"EqA21ZL","81DKj1A","2026-09-11 21:08:53","Green space","","Do not turn the open green space into a parking lot - we do not need more parking lots. ","","No"
"6D4gR1Y","LZxbvMy","2026-09-11 21:18:56","Green space","","","","No"
"KpO9D17","kdjyKMZ","2026-09-11 21:22:59","ATC Indoor Track Proposal","","We live in the city; with Grant Park less than a mile away and Phoenix Parks 1,2 and 3 with on walking distance  of anyone that lives in Summerhill. We need to supports a space that promotes collaboration, cooperation, and good health. I’m perplex as to why this is an issue. Let’s focus our energy on the homeless that have moved into the community and finding a viable solution for people who have been displaced. Additionally, the only people using the green space are those people who run track or who run. Lastly, Change is inevitable. Changing the green space
to a facility that will support body movement should be encouraged.","","No"
"EqA2vql","EkVXM9r","2026-09-11 21:47:35","Green space","","Would be nice if they could refurbish any of the many abandoned buildings throughout Atlanta rather than tear down yet another green space. ","","No"
"LDVe60y","GxEz7Vp","2026-09-11 21:59:55","Green space","","","","No"
"zEgkL7q","EkVXALN","2026-09-11 22:04:28","Green space","","Kids’ sport teams play on these fields. To replace it with a parking lot would be insane. ","","No"
"aOkRlkW","yPA6kM4","2026-09-11 22:18:06","ATC Indoor Track Proposal","","","","No"
"gbgEgDN","A7Rd5qy","2026-09-11 22:20:27","Green space","","","","No"
"BE6r6ZR","5B0z5O6","2026-09-11 22:22:05","Something else (write in)","I’d like for the park to be upgraded on the where Ralph McGill elementary once was. A bathroom added to the track. NO INDOOR TRACK JUST SIMPLY ADD A BATHROOM ","","No","No"
"7XjyjOz","ZjkNyM5","2026-09-11 22:24:07","ATC Indoor Track Proposal","","There is so much potential in this space. APS does a poor job of maintaining the track area. I use it a few mornings a week. There is always trash overflowing and the porto john is awful. 
The “green space” in this area is fenced in and mostly inaccessible to the community outside of the limited hours. I live 3 blocks away, drive by almost every day, and never see anyone using it outside of cross country meets.
There’s already a park a block away that needs some TLC. Let’s focus our energy on making that actual green space nicer and more desirable for folks to spend time instead of trying to gate keep Cheney from what will be an incredible amenity and also great for our property values.","","No"
"Z9WMgR5","BzoXlZY","2026-09-11 22:28:03","Green space","","","","No"
"q5g9pX2","PdQ6ePe","2026-09-11 22:30:00","Something else (write in)","No opposed to the indoor track but want to know more about it. ","Not sure what the implications are of the indoor track so hard to create an opinion. If it benefits the community at large, would support. ","Yes","No"
"o9gqprb","lb2y12W","2026-09-11 22:31:34","ATC Indoor Track Proposal","","ATC will need to not restrict access to the facility to Summerhill residents except on few, private occasions","","No"
"0VGKyZ0","QK9DaQ8","2026-09-11 22:40:27","Green space","","","","No"
"VpqKADE","rj96b4l","2026-09-11 22:40:36","Something else (write in)","Elementary school ","Elementary school","No","No"
